codigo1;descricao1;codigo2;descricao2;codigo3;descricao3;codigo4;descricao4;est_atend;Un_med;Un_con;Fator;Est_aqui;Capacidade;Ciclo;Velocidade;Acessorios
PRP025;ESPONJAS;BT0063;SUPERPRO;C9422E;ESPONJA LAVA  CARRO CX C/24 UNID;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9423;ESPONJA MULTIUSO SUPERPRO - 1X80CJ;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9440;ESPONJA REFIL 40X7,5X2,3 CM C/120;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9450;MANTA ESFREBOM 450 G I;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94502;MANTA 450 G II;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94503;MANTA 450 G III;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9452;FIBRA LIMPEZA GERAL;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9453;FIBRA LIMPEZA PESADA TIPO ATLAS;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9456;MANTA ESFREBOM 456 RECUPERADA;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94562;MANTA AZUL G3;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94563;MANTA FILTRANTE ESPECIAL AZUL 1X20;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9457;MANTA BRANCA RECUPERADA;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94572;MANTA BRANCA GII;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94573;MANTA BRANCA GIII;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9458;FIBRA AM VERMELHA;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9459;MANTA ABRASIVA VERMELHA  AMF GRAO240;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94592;MANTA AMF VERMELHA G2;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94593;FIBRA ABRASIVA AMF VERMELHA G3;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9460;MANTA ABRASIVA INDL - ASF GRAO400;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9461;MANTA ABRASIVA INDL - SUF;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9466;ROLO MANTA ABRASIVA VERDE;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94662;MANTA 466 G II;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C94663;FIBRA BEGE GIII;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9469;MANTA ABRAS IND SSF 1,70X53MT GRAO400;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9470;MANTA ABRASIVA IND VERDE 2005440-INBRISA;;;;;;1;;;;;
PRP025;ESPONJAS;BT0063;SUPERPRO;C9470CZ;MANTA ABRASIVA CINZA 90M2;;;;;;1;;;;;
